index negative positive
2014-01-02 1e-06 0.244613
2014-01-03 0.241033 1e-06
2014-01-04 0.0441092 1e-06
2014-01-05 1e-06 0.122338
2014-01-06 0.112036666667 0.0764503333333
2014-01-07 0.538351 1e-06
2014-01-08 0.312260333333 0.0764503333333
2014-01-09 0.1261745 1e-06
2014-01-10 1e-06 1e-06
2014-01-11 1e-06 1e-06
2014-01-12 0.0606802 1e-06
2014-01-13 1e-06 0.267364
2014-01-14 0.0116961666667 0.0118744666667
2014-01-15 1e-06 0.357312
2014-01-16 1e-06 1e-06
2014-01-17 1e-06 1e-06
2014-01-18 1e-06 1e-06
2014-01-19 0.04720465 1e-06
2014-01-20 1e-06 1e-06
2014-01-21 0.115107 1e-06
2014-01-22 1e-06 0.14721175
2014-01-23 0.2141302 1e-06
2014-01-24 0.0285642857143 0.0327644285714
2014-01-25 1e-06 0.115043
2014-01-26 1e-06 0.0398695
2014-01-27 1e-06 0.0793231
2014-01-28 0.159976666667 1e-06
2014-01-29 1e-06 1e-06
2014-01-30 0.122352 0.00695385
2014-01-31 0.240075 1e-06
2014-02-01 0.530820333333 1e-06
2014-02-02 0.145758 1e-06
2014-02-03 1e-06 1e-06
2014-02-04 1e-06 1e-06
2014-02-05 0.1226841 1e-06
2014-02-06 0.0515396666667 0.0830796666667
2014-02-07 0.186182933333 0.257433666667
2014-02-08 1e-06 1e-06
2014-02-09 1e-06 1e-06
2014-02-10 1e-06 1e-06
2014-02-11 0.177588666667 1e-06
2014-02-12 1e-06 1e-06
2014-02-13 0.234707333333 1e-06
2014-02-14 0.203076 0.0313172
2014-02-15 0.398004 1e-06
2014-02-16 1e-06 1e-06
2014-02-17 0.3058669 1e-06
2014-02-18 0.18518 1e-06
2014-02-19 0.12990575 1e-06
2014-02-20 0.160930333333 1e-06
2014-02-21 0.052337 0.07357825
2014-02-22 1e-06 1e-06
2014-02-23 0.364719 1e-06
2014-02-24 0.126905 1e-06
2014-02-25 1e-06 0.0225654666667
2014-02-26 1e-06 1e-06
2014-02-27 0.206466033333 1e-06
2014-02-28 1e-06 1e-06
2014-03-01 1e-06 1e-06
2014-03-02 0.348168 1e-06
2014-03-03 1e-06 1e-06
2014-03-04 0.0843819 1e-06
2014-03-05 1e-06 0.090874
2014-03-06 0.26634825 1e-06
2014-03-07 1e-06 1e-06
2014-03-08 1e-06 1e-06
2014-03-09 0.179103 1e-06
2014-03-10 1e-06 0.1112655
2014-03-11 1e-06 1e-06
2014-03-12 0.0276411 1e-06
2014-03-13 1e-06 1e-06
2014-03-14 1e-06 1e-06
2014-03-15 1e-06 1e-06
2014-03-16 1e-06 1e-06
2014-03-17 1e-06 1e-06
2014-03-18 0.112418 1e-06
2014-03-19 1e-06 1e-06
2014-03-20 0.0627995 1e-06
2014-03-21 0.0227592 0.0520904
2014-03-22 1e-06 0.0834337
2014-03-23 0.277624 1e-06
2014-03-24 0.43513 1e-06
2014-03-25 0.0982846666667 0.239688
2014-03-26 0.174664333333 0.138019333333
2014-03-27 0.4275705 1e-06
2014-03-28 1e-06 1e-06
2014-03-29 0.275288333333 1e-06
2014-03-30 0.152779 1e-06
2014-03-31 0.00573582 1e-06
2014-04-01 1e-06 1e-06
2014-04-02 0.135093 0.0323442857143
2014-04-03 1e-06 0.0431429
2014-04-04 1e-06 1e-06
2014-04-05 1e-06 1e-06
2014-04-06 1e-06 1e-06
2014-04-07 1e-06 0.023557
2014-04-08 0.379669 1e-06
2014-04-09 1e-06 1e-06
2014-04-10 1e-06 1e-06
2014-04-11 1e-06 0.102874
2014-04-12 1e-06 0.557149
2014-04-13 0.2097 0.1558635
2014-04-14 1e-06 1e-06
2014-04-15 0.0291377333333 1e-06
2014-04-16 1e-06 1e-06
2014-04-17 0.176977 1e-06
2014-04-18 1e-06 0.0315155
2014-04-19 1e-06 1e-06
2014-04-20 1e-06 1e-06
2014-04-21 1e-06 1e-06
2014-04-22 0.1622512 0.0654266
2014-04-23 0.04442225 1e-06
2014-04-24 0.060651 0.13209
2014-04-25 1e-06 1e-06
2014-04-26 1e-06 1e-06
2014-04-27 1e-06 1e-06
2014-04-28 0.0054972 1e-06
2014-04-29 0.1985385 1e-06
2014-04-30 1e-06 0.212707
2014-05-01 0.28512 1e-06
2014-05-02 1e-06 1e-06
2014-05-03 1e-06 1e-06
2014-05-04 1e-06 1e-06
2014-05-05 0.128045 1e-06
2014-05-06 1e-06 0.072055
2014-05-07 0.04372775 0.0036702125
2014-05-08 1e-06 0.0422658333333
2014-05-09 1e-06 1e-06
2014-05-10 0.2080282 0.221016
2014-05-11 0.3073545 0.02760535
2014-05-12 0.174238571429 0.133952285714
2014-05-13 1e-06 0.027345
2014-05-14 0.066992 1e-06
2014-05-15 1e-06 1e-06
2014-05-16 1e-06 1e-06
2014-05-17 1e-06 1e-06
2014-05-18 0.386967 1e-06
2014-05-19 0.181331 1e-06
2014-05-20 0.152836 1e-06
2014-05-21 0.327987 1e-06
2014-05-22 1e-06 0.092521
2014-05-23 1e-06 1e-06
2014-05-24 1e-06 1e-06
2014-05-25 0.14501925 0.0718905
2014-05-26 0.380086 1e-06
2014-05-27 0.047204125 0.058693125
2014-05-28 0.151029 1e-06
2014-05-29 0.0337526 0.101794
2014-05-30 1e-06 1e-06
2014-05-31 1e-06 1e-06
2014-06-01 0.146089 1e-06
2014-06-02 0.0793013333333 0.0464363333333
2014-06-03 0.13247552 0.1236023
2014-06-04 0.0882631428571 0.0444972857143
2014-06-05 1e-06 1e-06
2014-06-06 0.0475406666667 0.0764503333333
2014-06-07 0.202057 0.15107
2014-06-08 0.15454975 0.069388
2014-06-09 0.0965693333333 0.057983
2014-06-10 0.0788983333333 1e-06
2014-06-11 1e-06 1e-06
2014-06-12 0.11413 1e-06
2014-06-13 1e-06 0.1581855
2014-06-14 0.1606455 1e-06
2014-06-15 0.1800185 1e-06
2014-06-16 0.203037 1e-06
2014-06-17 0.157162 1e-06
2014-06-18 0.114009 0.279448666667
2014-06-19 1e-06 0.265804
2014-06-20 1e-06 1e-06
2014-06-21 1e-06 1e-06
2014-06-22 1e-06 0.208082666667
2014-06-23 1e-06 0.295116
2014-06-24 0.0075221 0.02522475
2014-06-25 1e-06 1e-06
2014-06-26 1e-06 0.190489
2014-06-27 1e-06 1e-06
2014-06-28 1e-06 1e-06
2014-06-29 1e-06 1e-06
2014-06-30 0.201535333333 1e-06
2014-07-01 1e-06 1e-06
2014-07-02 0.259882333333 1e-06
2014-07-03 0.101922 1e-06
2014-07-04 0.172554 1e-06
2014-07-05 0.198874 1e-06
2014-07-06 0.274807 1e-06
2014-07-07 1e-06 0.089941
2014-07-08 1e-06 1e-06
2014-07-09 0.336469 1e-06
2014-07-10 1e-06 1e-06
2014-07-11 1e-06 1e-06
2014-07-12 1e-06 1e-06
2014-07-13 0.057976 1e-06
2014-07-14 1e-06 1e-06
2014-07-15 1e-06 0.134263333333
2014-07-16 0.258464666667 0.0560286666667
2014-07-17 0.012908 0.0479422
2014-07-18 0.2383092 0.0647084
2014-07-19 1e-06 1e-06
2014-07-20 1e-06 0.151755
2014-07-21 0.063008 1e-06
2014-07-22 1e-06 1e-06
2014-07-23 1e-06 0.229351
2014-07-24 0.0868878285714 1e-06
2014-07-25 0.23962925 1e-06
2014-07-26 0.421609 1e-06
2014-07-27 1e-06 1e-06
2014-07-28 1e-06 1e-06
2014-07-29 1e-06 1e-06
2014-07-30 0.0929043333333 1e-06
2014-07-31 1e-06 1e-06
2014-08-01 0.12929135 1e-06
2014-08-02 1e-06 1e-06
2014-08-03 0.0570746666667 0.134239666667
2014-08-04 1e-06 1e-06
2014-08-05 1e-06 1e-06
2014-08-06 1e-06 1e-06
2014-08-07 0.14495125 0.02797225
2014-08-08 0.717653 1e-06
2014-08-09 1e-06 1e-06
2014-08-10 1e-06 1e-06
2014-08-11 1e-06 1e-06
2014-08-12 1e-06 1e-06
2014-08-13 1e-06 1e-06
2014-08-14 1e-06 1e-06
2014-08-15 0.358636 1e-06
2014-08-16 1e-06 1e-06
2014-08-17 0.1947005 1e-06
2014-08-18 0.0708561 1e-06
2014-08-19 1e-06 0.0506949
2014-08-20 1e-06 1e-06
2014-08-21 1e-06 1e-06
2014-08-22 1e-06 1e-06
2014-08-23 1e-06 1e-06
2014-08-24 1e-06 1e-06
2014-08-25 1e-06 1e-06
2014-08-26 1e-06 1e-06
2014-08-27 1e-06 1e-06
2014-08-28 1e-06 1e-06
2014-08-29 1e-06 1e-06
2014-08-30 1e-06 1e-06
2014-08-31 0.450068 1e-06
2014-09-01 1e-06 1e-06
2014-09-02 0.04308585 1e-06
